name,url,star,class_name,pos,tag,public_recruit,report
12F,https://prts.wiki/w/12F,2,术师,远程位,新手,True,感谢阁下让我加入这里，从今天开始，我将尽全力为您效劳——作为一名术师。一直以来我都没有名字，如果感觉不方便的话，今后请用12F称呼我。
Castle-3,https://prts.wiki/w/Castle-3,1,近卫,近战位,"支援机械,支援",True,您好，博士，欢迎使用Castle-3！请点击任意位置以开始初始化首选项。
Friston-3,https://prts.wiki/w/Friston-3,1,重装,近战位,"支援机械,防护",True,你好，我是Friston。没错，就是“Friston”，不是什么“Friston-3”，我不是复制品，更不是复制品的复制品，希望你能理解。
Lancet-2,https://prts.wiki/w/Lancet-2,1,医疗,远程位,"支援机械,治疗",True,嗨，你好，博士。你在期待我能对你多说些什么，但我不能，毕竟我只是一台医疗机器人......
THRM-EX,https://prts.wiki/w/THRM-EX,1,特种,近战位,"支援机械,爆发",True,诞生于雷神工业，改进于伟大的梅尔之手，膨胀的炙热之心——Thermal-EX ，前来助阵！
U-Official,https://prts.wiki/w/U-Official,1,辅助,远程位,控场,False,呀嚯~观众朋友你们好，我是你们的尤......呀！不对不对，罗德岛干员，U-Official，向博士报到！
W,https://prts.wiki/w/W,6,狙击,远程位,"输出,控场",False,萨卡兹佣兵，W，真是好久不见，虽然这个“好久”可能含义不同。但没关系，既然现在的你不是我要找的你，那你暂时是安全的，暂时哦。
万顷,https://prts.wiki/w/万顷,5,先锋,近战位,"费用回复,支援",False,为什么叫“万顷”？这名字是老师从大荒城成功的实验稻品种里选的，剩下的是防涝三号、早优八号、抗冻十一......“万顷”已经是里面最好听的了。
临光,https://prts.wiki/w/临光,5,重装,近战位,"防护,治疗",True,玛嘉烈·临光，卡西米尔耀骑士......不，就让我作为一名罗德岛干员，用这面盾牌捍卫您的生命、您的荣耀。
乌有,https://prts.wiki/w/乌有,5,特种,近战位,"快速复活,输出",False,代号是吧，“乌有”，子虚乌有的乌有，您就是博士？就是我新老板啦？哎，要捶背不？要揉揉腿吗？
九色鹿,https://prts.wiki/w/九色鹿,5,辅助,远程位,"支援,生存",False,初次见面，我是九色鹿。嗯？这个花纹很好看吗？谢，谢谢......以后请多多关照了。
亚叶,https://prts.wiki/w/亚叶,5,医疗,远程位,"治疗,输出",False,我是医疗部的亚叶，现在开始参加战地医疗任务，同时应凯尔希老师的要求，对您的健康情况进行管理，请多指教。
仇白,https://prts.wiki/w/仇白,6,近卫,近战位,"输出,控场",False,博士，我是仇白。此行会在罗德岛待多久，我还不清楚，但哪怕萍水相逢，也算一段际遇。我们应该能处得来。
令,https://prts.wiki/w/令,6,辅助,远程位,"召唤,支援,控场",False,令，如此称呼我就好，我那两个麻烦妹妹没给您添麻烦吧？唔？见过我？啊......也许是在梦中吧。
伊内丝,https://prts.wiki/w/伊内丝,6,先锋,近战位,"费用回复,快速复活",False,阿斯卡纶给你看过我的档案了。信使......还是雇佣兵？这不重要。你只需要知道，我暂时不会威胁你的性命，“博士”。
伊桑,https://prts.wiki/w/伊桑,4,特种,近战位,"输出,控场",False,你问我在哪儿？就在你面前！叫我伊桑吧。你问我刚才发生了啥？哈哈，现在还不能说哦！
伊芙利特,https://prts.wiki/w/伊芙利特,6,术师,远程位,"群攻,削弱",True,我就是伊芙利特！赫默说罗德岛是个好地方，但我不喜欢你们这些穿白大衣的家伙......除了赫默之外。
休谟斯,https://prts.wiki/w/休谟斯,4,近卫,近战位,"输出,生存",False,博士，你们罗德岛帮了我那么多，我除了感激没话说。你要是用得上我，尽管说，一定想办法给你办成！
伺夜,https://prts.wiki/w/伺夜,6,先锋,远程位,"费用回复,控场",False,你好，博士，我是贝洛内家族的......算了，如今我的家族已不复存在，但这份代价也为叙拉古带来了足够的改变。至于更进一步......干员伺夜向你报到，博士，希望我们合作愉快。
但书,https://prts.wiki/w/但书,5,辅助,远程位,"削弱,减速",False,您好，我叫黛丝特，是刚入职的法律顾问。如果需要一个代号的话，就叫我但书吧。姑且一提，一般公司用代号模糊员工身份的做法，在我这可行不通哦。
假日威龙陈,https://prts.wiki/w/假日威龙陈,6,狙击,远程位,"输出,群攻",False,陈，从多索雷斯度假归来。关于这次度假，我有不少报告要写，所以只是路过来跟你打个招呼，博士。要出任务了叫我，假期结束了，一切照旧。
傀影,https://prts.wiki/w/傀影,6,特种,近战位,"快速复活,控场,输出",True,代号傀影，黑夜中的幽灵，幕布后的幻影。告诉我，你的敌人在哪，是谁......
克洛丝,https://prts.wiki/w/克洛丝,3,狙击,远程位,输出,True,嗨~嗨~我是克洛丝哦~我还不成熟，从今天开始会加油的~
冰酿,https://prts.wiki/w/冰酿,5,狙击,远程位,输出,False,博士，你好，我和杰西卡一道来替我们拓荒地的感染者联系医疗服务。杰西卡经常讲起你们的事，我想我们的合作会很愉快的。
凛冬,https://prts.wiki/w/凛冬,5,先锋,近战位,"费用回复,支援",True,凛冬，乌萨斯学生自治团团长。我自己怎么样无所谓，但现在我的同伴需要一个安身之处。好了，快给我安排些工作，我知道在这里生活不是免费的。
凛视,https://prts.wiki/w/凛视,5,辅助,远程位,元素,False,您和我见过的一样......不，请别在意。我是从萨米群山的岩窟中走出来的独眼巨人，见到黑暗迫近，因此寻求合作。请叫我凛视吧。
凯尔希,https://prts.wiki/w/凯尔希,6,医疗,远程位,"召唤,治疗",False,博士，我出现在这里，说明局势不容乐观。你需要专心......继续完成你的使命。
初雪,https://prts.wiki/w/初雪,5,辅助,远程位,削弱,True,嘘，我是偷偷跑出来——啊，嗯，人事主管你也在啊，是的，我是来协助罗德岛的。喀兰圣女，初雪，向你献上至洁的祝福。
刺玫,https://prts.wiki/w/刺玫,5,医疗,远程位,治疗,False,博士，刺玫向您报到。欸，洛洛小姐为我准备的稿子后面是什么来着......总之，请您先收下这朵花！它代表着好运哦。
刻俄柏,https://prts.wiki/w/刻俄柏,6,术师,远程位,"输出,控场",True,你好像还挺和善的，是叫博士对吧。我是刻俄柏，要是觉得拗口可以叫我小刻，以后就在你这儿待着了。
刻刀,https://prts.wiki/w/刻刀,4,近卫,近战位,"爆发,输出",True,刻刀，只是个普通的雇佣兵。我得了矿石病，所以打算用我的能力换取治疗机会，这把刀应该还能派上些用场......嗯，就是这样。
华法琳,https://prts.wiki/w/华法琳,5,医疗,远程位,"治疗,支援",True,我，华法琳，血液学专科医师。比起普通的治疗法术，我会利用血液学相关知识和经验，为你们提供比常规方式更好的医疗保障。那么，请多关照啦。
卡夫卡,https://prts.wiki/w/卡夫卡,5,特种,近战位,"快速复活,控场",False,找卡夫卡有什么事吗......喂，不要当着这么多人说出来啊。当我是个普通的园艺师就好啦。
卡涅利安,https://prts.wiki/w/卡涅利安,6,术师,远程位,"群攻,防护",False,你好，你就是博士吧？我是卡涅利安，霍恩洛厄伯爵的侍卫......啊，在罗德岛我就只是普通干员而已，还请不要对我妹妹说些多余的事，好吗？
卡缇,https://prts.wiki/w/卡缇,3,重装,近战位,防护,False,你——好！我第一次来到这么大的移动设施里面，现在超兴奋的！我是卡缇族的梅莉，您就是博士吗？
卡达,https://prts.wiki/w/卡达,4,术师,远程位,"输出,控场",True,大家好，这里是卡达的频道！唉？不能在博士房间拍素材？好吧......
古米,https://prts.wiki/w/古米,4,重装,近战位,"防护,治疗",True,我是古米！您就是博士吗？感谢您和罗德岛的大家一起帮助了我们！古米没有特别的能力，但只要是能做到的就一定竭尽全力！就让古米成为博士的力量吧！
可颂,https://prts.wiki/w/可颂,5,重装,近战位,"防护,位移",True,我是可颂。老板您的运气可真好，能得到我这样安全可靠刀枪不入的优质干员！另外，现在雇佣我的话，还可以给您打八折哦！
史尔特尔,https://prts.wiki/w/史尔特尔,6,近卫,近战位,输出,True,我是史尔特尔，你就是他们说的博士吗。今后我会在罗德岛工作，希望你们不要让我觉得无聊。
史都华德,https://prts.wiki/w/史都华德,3,术师,远程位,输出,True,术师史都华德，从今天开始，还请您多多关照。
号角,https://prts.wiki/w/号角,6,重装,近战位,"输出,防护",False,风暴突击队队长号角，向您报到，罗德岛的博士。我已经见识了您的手段，还有罗德岛干员的作战素质。在接下来的合作中，我和我的士兵会听从您的指挥。
吽,https://prts.wiki/w/吽,5,重装,近战位,"防护,治疗",True,您就是老鲤说的博士了吧，您好，我是吽，擅长的是安保工作和机械修理，您要是出门缺个保镖，或者电视冰箱坏了，都可以叫我。
和弦,https://prts.wiki/w/和弦,5,术师,远程位,输出,False,您好，我的代号是“和弦”。为表诚意，请罗德岛收下这份有关维多利亚的文件。不必在意，这是回应感谢最基本的礼仪。期待我们以后的相处，博士。
哈洛德,https://prts.wiki/w/哈洛德,5,医疗,远程位,治疗,False,本以为终于要被发配边疆了，结果......这种时候，我是不是该说国家待我不薄？哦，抱歉抱歉，您就是我未来的长官对吧？一介普通军医，为您效劳。
嘉维尔,https://prts.wiki/w/嘉维尔,4,医疗,远程位,治疗,False,我是医疗术师嘉维尔。先说好了，对我，可不能以貌取人，明白吗？
四月,https://prts.wiki/w/四月,5,狙击,远程位,输出,True,罗德岛的设施和待遇竟然这么好......啊，抱歉，博士，我只是有些吃惊。我的代号就叫四月吧，嗯，来源是我最喜欢的一首歌哦。
因陀罗,https://prts.wiki/w/因陀罗,5,近卫,近战位,"输出,生存",True,老子是因陀罗，没什么乱七八糟的能力，干架靠的就是这双拳头。那么，请多关照！
图耶,https://prts.wiki/w/图耶,5,医疗,远程位,治疗,False,博士？他们说在这里你懂得比谁都多，那我可要好好看看。
圣约送葬人,https://prts.wiki/w/圣约送葬人,6,近卫,近战位,输出,False,你似乎很惊讶，博士。请放心，装备的变动不会影响我完成任务，如果你真的很在意，我可以在进入罗德岛之前更换回之前的服装。不必？好的。
地灵,https://prts.wiki/w/地灵,4,辅助,远程位,减速,True,地灵，地质学者兼术师，向你报道。我每天的工作时间是八小时，如果加班的话要额外支付加班费。
坚雷,https://prts.wiki/w/坚雷,4,重装,近战位,"防护,输出",False,磐石般坚硬，雷霆般致命，那就是我，坚雷。请多指教哦，博士。
埃拉托,https://prts.wiki/w/埃拉托,5,狙击,远程位,"输出,控场",False,这里就是罗德岛吧，终于，终于找到了......不，这一切都是命运指引的相逢，应该说正是时候！叫我埃拉托就好，请问帕拉斯在吗？
塑心,https://prts.wiki/w/塑心,6,辅助,远程位,"元素,支援",False,我本该用音乐来介绍自己，只可惜，我暂时被禁止为您演奏。那么，从起一个代号开始吧......您可以叫我，“塑心”。
塞雷娅,https://prts.wiki/w/塞雷娅,6,重装,近战位,"防护,治疗,支援",True,塞雷娅，原莱茵生命研究所实验组成员。至于现在......为了让偏离传统的事物回归正途，我需要罗德岛的协助。
夏栎,https://prts.wiki/w/夏栎,5,辅助,远程位,"支援,生存",False,你好，博士，叫我夏栎就好。虽然这是初次见面，但你桌上那些维多利亚北部的情报，就是我发回来的......喂，连你也要说我报告格式不标准？
夕,https://prts.wiki/w/夕,6,术师,远程位,"群攻,输出,控场",False,啊？博士？又是合同？好了好了，签了以后你可别再来烦我。拿去......事先讲好，夕我，从不送画，谁都不送。也不接单！
多萝西,https://prts.wiki/w/多萝西,6,特种,远程位,"召唤,控场",False,你好，我是多萝西。是的，我是莱茵生命源石技艺应用科的主任......赫默医生已经向罗德岛介绍过我了吗？不用客气，还是叫我多萝西吧。
夜刀,https://prts.wiki/w/夜刀,2,先锋,近战位,新手,True,先锋干员夜刀，你——就是我要保护的人吗？
夜半,https://prts.wiki/w/夜半,5,先锋,远程位,"费用回复,控场",False,你就是罗德岛上最强的战术家？我叫夜半，麻烦跟我较量一下。要是我输了的话，以后你就是我老大，要负责好好教我的。
夜烟,https://prts.wiki/w/夜烟,4,术师,远程位,"输出,削弱",True,你好~叫我夜烟~我喜欢轻轻松松的工作环境，和一个不会向我问这问那的雇主~
夜莺,https://prts.wiki/w/夜莺,6,医疗,远程位,"治疗,支援",True,丽兹，这是我真正的名字。除此之外的事情，我都不记得了......
夜魔,https://prts.wiki/w/夜魔,5,术师,远程位,"输出,治疗,减速",True,夜魔......啊，这只是我的代号。我的名字是葛罗莉亚，如果能叫我的名字，我会很高兴的......我很害怕，那个代号......
天火,https://prts.wiki/w/天火,5,术师,远程位,"群攻,控场",False,“王者之杖”所属，天火。在达成目的之前，我会暂时在罗德岛停留。目的？当然是将整合运动焚烧殆尽。
奥斯塔,https://prts.wiki/w/奥斯塔,5,狙击,远程位,群攻,False,博士，你好。我叫奥斯塔。之前承蒙照顾，我们三个人才没有被干掉。不嫌弃的话，请让我们在这里工作一段时间吧。
子月,https://prts.wiki/w/子月,5,狙击,远程位,"输出,生存",False,阿涅塞叫我子月，你也可以这么喊我。我听说这里有一个地方叫食堂，可以随便吃饭，真的吗？在哪？我现在就可以过去吗？
孑,https://prts.wiki/w/孑,4,特种,近战位,"快速复活,输出",True,老板好，我叫孑。星熊警官说我更适合在这里做事，我就来了。我懂水产，会做菜，刀功也还可以，应该能帮上忙。
守林人,https://prts.wiki/w/守林人,5,狙击,远程位,"输出,爆发",True,狙击手守林人。为了复仇，我需要强大力量的帮助。
安哲拉,https://prts.wiki/w/安哲拉,5,狙击,远程位,"输出,减速",True,我之前是莫妮卡......哦，现在应该叫她白炽了，反正算是她的保镖吧。这次她终于找到了正经工作，我也可以做些别的事了，总之，请多关照。
安德切尔,https://prts.wiki/w/安德切尔,3,狙击,远程位,输出,True,我是拉特兰出身，担任狙击干员的安德切尔。虽然我还没有得到铳的使用权，不过说到弩的灵活运用，我不会输给前辈们的！
安比尔,https://prts.wiki/w/安比尔,4,狙击,远程位,"输出,减速",True,安比尔，狙击手，拉特兰出身......说明身份什么的真麻烦，就这样吧。喏，刚开包的巧克力，你也来一根。
安洁莉娜,https://prts.wiki/w/安洁莉娜,6,辅助,远程位,"减速,输出,支援",False,我是来自叙拉古的信使，安心院安洁莉娜。嗯，叫我安洁莉娜就可以了。我能用博士来称呼博士你吗？
安赛尔,https://prts.wiki/w/安赛尔,3,医疗,远程位,治疗,True,我是实习医生安赛尔，今后将承担一些外科医疗方面的辅助工作，还请您多多指教。
宴,https://prts.wiki/w/宴,4,近卫,近战位,"输出,生存",True,你好呀博士，我是刚当上干员没多久的宴，兴趣是......嗯，不用那么详细吗？那，以后就请您多多关照了哦。
寒檀,https://prts.wiki/w/寒檀,5,术师,远程位,"群攻,控场",False,她在部族的寒檀木下降生，所以那成为了她的名字、代号，以及生命的一部分。一位黜人回归部族，以此重获使用名字的权利。她将为她的新族长尽心尽力。
寒芒克洛丝,https://prts.wiki/w/寒芒克洛丝,5,狙击,远程位,输出,False,嗨~博士，我回来了，最近没有发生什么棘手的事情吧。哈哈，那就好，我先回去休息啦，如果有目标要处理，记得和我打个招呼哦。
小满,https://prts.wiki/w/小满,5,辅助,远程位,"减速,控场",False,是黍姐姐带我过来玩的！我好像还在要她签字的文件上写了我的名字......？不过黍姐姐说不要紧，签字之后我就可以经常来这里玩！
山,https://prts.wiki/w/山,6,近卫,近战位,"输出,生存",False,既然你们救了我，那我也必须对你们诚实，博士。我的目标是莱茵生命中的某个部门，不想破坏你们的友谊的话，你现在还有机会让我离开。
崖心,https://prts.wiki/w/崖心,5,特种,近战位,"位移,输出",True,我就是将要触摸天际的崖心，请多关照！
嵯峨,https://prts.wiki/w/嵯峨,6,先锋,近战位,"费用回复,输出",False,你就是博士？你好......啊，这种时候应该严肃一些对吧？咳咳，小僧名唤嵯峨，是一名云游僧，如果有用得到小僧的地方，任凭差遣！
巡林者,https://prts.wiki/w/巡林者,2,狙击,远程位,新手,True,狙击干员巡林者，等候差遣。
左乐,https://prts.wiki/w/左乐,6,近卫,近战位,"输出,生存",False,博士，我叫左乐。罗德岛上代理人的数量，快赶上炎国本土了，司岁台早就该派人过来一趟。其实我们之前便寄过一封公函。只不过，贵司似乎忘了回复？
巫恋,https://prts.wiki/w/巫恋,5,辅助,远程位,削弱,True,新名字是巫恋......这是小莫提......至于其他的事情......你最好不要知道，小莫提说过，这对大家都不好......
布丁,https://prts.wiki/w/布丁,4,术师,远程位,输出,False,您好，我是来自哥伦比亚的电气工程师，代号......可露希尔小姐说，就叫“布丁”了，会不会很奇怪啊......
布洛卡,https://prts.wiki/w/布洛卡,5,近卫,近战位,"群攻,生存",True,既然贾维决定加入你们，我也没什么好说的。你可以叫我布洛卡，我会听你的命令，但别指望我做多余的事，我对你们这样的大组织可没有好感。
帕拉斯,https://prts.wiki/w/帕拉斯,6,近卫,近战位,"输出,支援",False,我是来自米诺斯的祭司帕拉斯，会在罗德岛休息一段时间......虽然这么说，我渴望受到美酒和戏剧招待，更渴望走向战场。
年,https://prts.wiki/w/年,6,重装,近战位,"防护,支援",False,有人吗？贵公司的员工和我说这里生活条件很好，免费食宿，还有多种多样的娱乐方式......闲杂人员不得入内？哎，别这样，给个面子嘛。
幽灵鲨,https://prts.wiki/w/幽灵鲨,5,近卫,近战位,"群攻,生存",True,幽灵鲨......那些‘死者’都这样称呼我。那位医生告诉我，继续获得治疗的条件，是为罗德岛而战。嗯，我会的，我会把我的力量，全都献给你们。
异客,https://prts.wiki/w/异客,6,术师,远程位,输出,False,您的干员，异客。很期待与您共事，博士，我们都会享受这个过程的。
归溟幽灵鲨,https://prts.wiki/w/归溟幽灵鲨,6,特种,近战位,"输出,快速复活",False,我认识你，你也认识我，我们应该省去无趣的“初次见面”。但你还不了解我，我也不了解你。在我的记忆中，陆上的人互相了解的方式倒是并不令人困惑，所以，来交流吧。
微风,https://prts.wiki/w/微风,5,医疗,远程位,"治疗,支援",False,微风，来自多伦郡的游学者，很荣幸见到您，博士。正式的礼仪太麻烦了，所以就免了吧。
德克萨斯,https://prts.wiki/w/德克萨斯,5,先锋,近战位,"费用回复,控场",True,代号德克萨斯，职能包括载具驾驶、货物搬运以及人员安全保障。关于任务的说明，请尽量简单些。
惊蛰,https://prts.wiki/w/惊蛰,5,术师,远程位,输出,True,我已经同贵司签订了搜查协议，不必多虑，这完全是个人行为。如果你想，可以称呼我，惊蛰。问我是谁？忘了在哪见过我？什么？！
慑砂,https://prts.wiki/w/慑砂,5,狙击,远程位,"群攻,削弱",True,我知道你在寻找什么，罗德岛的博士，你渴望真相和强大！而我慑砂，愿意赐予你这份力量......哎别，别这样，别推我出门啊，我是认真来求职的！
慕斯,https://prts.wiki/w/慕斯,4,近卫,近战位,输出,True,你好......请、请叫我慕斯......那个，我的手，请您不要盯着我的手看......
战车,https://prts.wiki/w/战车,5,近卫,近战位,"爆发,输出",False,彩虹小队成员，代号战车。我准备好了，你将把我派去何方？
截云,https://prts.wiki/w/截云,5,狙击,远程位,"群攻,减速",False,你问我原本的名字吗？博士，难道你能听懂阿纳萨的语言......但我还是希望在罗德岛能继续用“截云”这个名字。这是师父取的，我很喜欢。
戴菲恩,https://prts.wiki/w/戴菲恩,5,术师,远程位,输出,False,我们互相省下自我介绍的工夫吧，我会把这份合同视作你认可我们合作方式的信物。我现在可以回去工作了吗，博士？
承曦格雷伊,https://prts.wiki/w/承曦格雷伊,5,狙击,远程位,"输出,减速",False,博士，您好，这套装备是我的毕业设计，其实本来没想设计成......咦？加入作战编制？这、这就是可露希尔小姐说的由博士来审核答辩吗......
折光,https://prts.wiki/w/折光,5,术师,远程位,"元素,输出",False,左手或右手的名片，请问您要哪一张？......宝石鉴定师，折光，很高兴认识您。别担心，选到另一张的话，您这里也没有值得我下手的对象。
拉普兰德,https://prts.wiki/w/拉普兰德,5,近卫,近战位,"输出,削弱",False,暴虐的恶人阻断正义的道路，我的主人啊，以复仇与恶意为名，引领弱小的人吧。
拜松,https://prts.wiki/w/拜松,5,重装,近战位,防护,False,初次见面，博士，我是拜松。按照合约内容，接下来我也会作为罗德岛的一员行动，请多指教。
掠风,https://prts.wiki/w/掠风,5,辅助,近战位,"输出,支援",False,博士好，我是掠风，工程部新干员。您说是看中了我的能力，这点真的十分感谢。
